subfleet,iata,icao,hub_id,airport_id,name,registration,fin,hex_code,selcal,dow,zfw,mtow,mlw,status,simbrief_type
PC12,,PC12,MUHA,MUHA,"PILATUS PC-12",AC-T1507,,be3bee1f,,,,10449.91,,A,
TBM9,,TBM9,MUHA,MUHA,"DAHER TBM930",AC-T1509,,f63b35db,,,,7275.25,,A,
TBM9,,TBM9,MUHA,MUHA,"DAHER TBM930",AC-T1510,,6b8da385,,,,7275.25,,A,
A321,,A321,TJSJ,TJSJ,"AIRBUS A321-200",AC-T1601,,3fa7acc3,LACV,,,196211,,A,
KODI,,KODI,MUHA,TJSJ,"DAHER K100-SERIE I",AC-T1602,,d8dfe682,,,,7255.41,,A,
KODI,,KODI,TJSJ,TTPP,"DAHER K100-MIX SER",AC-T1603,,5e9fba45,,,,7255,,A,
KODI,,KODI,FBCO,FBCO,"DAHER K100-MIX SER",AC-T1604,,876e35f8,,,,,,A,
A20N,,A20N,MUHA,MUHA,"AIRBUS A320 NEO",AC-T1701,,ccb7fbe2,,,,141096,,A,
A20N,,A20N,MUHA,MUHA,"AIRBUS A320 NEO",AC-T1702,,119464f4,,,,141095.85,,A,
A20N,,A20N,MUHA,MUHA,"AIRBUS A320 NEO",AC-T1703,,de033e0d,,,,141095.85,,A,
A20N,,A20N,KPHX,KPHX,"AIRBUS A320 NEO",AC-T1704,,e12ffb22,,,,141096,,A,
A320,,A320,MUHA,MTPP,"AIRBUS A320",AC-T1705,,0ecefbb1,,,,137788.91,,A,
A320,,A320,MUHA,MUHA,"AIRBUS A320",AC-T1706,,45a91d27,,,,137788.91,,A,
A319,,A319,MUHA,MUHA,"AIRBUS A319 - 100",AC-T1707,,76129213,,,,125663,,A,
A319,,A319,MUHA,MUHA,"AIRBUS A319",AC-T1708,,d63b973c,,,,125663.49,,A,
A319,,A319,KPHX,KPHX,"AIRBUS A319",AC-T1709,,5e9e41f8,,,,125663,,A,
A319,,A319,TJSJ,TJSJ,"AIRBUS A319",AC-T1710,,468ebbe1,,,,125663,,A,
A319,,A319,TJSJ,TJSJ,"AIRBUS A319",AC-T1711,,fc758090,,,,125663,,A,
A320,,A320,TJSJ,TJSJ,"AIRBUS A320",AC-T1712,,0ee5acc4,,,,137789,,A,
A21N,,A21N,TJSJ,MUHA,"AIRBUS A321 NEO",AC-T1713,,ba2ad8d5,,,,162701,,A,
A21N,,A21N,MUHA,FKKD,"AIRBUS A321 NEO",AC-T1714,,d59cfdf6,,,,162701.15,,A,
A21N,,A21N,KPHX,KPHX,"AIRBUS A321 NEO",AC-T1715,,31951d46,,,,162701,,A,
A21N,,A21N,TJSJ,TJSJ,"AIRBUS A321 NEO",AC-T1716,,67156e1c,,,,162701,,A,
A21N,,A21N,MUHA,MUHA,"AIRBUS A321 NEO",AC-T1717,,54d4f5a1,,,,162701.15,,A,
A21N,,A21N,MUHA,MUHA,"AIRBUS A321 NEO",AC-T1718,,4e177fbc,,,,162701.15,,A,
A333,,A333,MUHA,MUHA,"AIRBUS A330-300",AC-T1719,,6cd25efd,,,,399036.69,,A,
A332,,A332,MUHA,MUHA,"AIRBUS A330-200",AC-T1720,,ffc71b47,,,,385808.96,,A,
A332,,A332,TJSJ,TJSJ,"AIRBUS A330-200",AC-T1721,,eedfcf25,,,,385809,,A,
A333,,A333,KPHX,KPHX,"AIRBUS A330-300",AC-T1722,,ef6a6838,,,,385809,,A,
A346,,A346,MUHA,MUHA,"AIRBUS A340-600",AC-T1723,,3f380dba,,,,507063.2,,A,
A346,,A346,KPHX,KPHX,"AIRBUS A340-600",AC-T1724,,4b72f9e4,,,,507063,,A,
A332,,A332,MUHA,MUHA,"AIRBUS A330-200",AC-T1725,,1ea872ef,,,,374785.85,,A,
A346,,A346,TJSJ,TJSJ,"AIRBUS A340-600",AC-T1726,,87999f13,,,,507063,,A,
A333,,A333,TJSJ,TJSJ,"AIRBUS A330-300",AC-T1727,,0565ad51,,,,396832,,A,
A359,,A359,TJSJ,TJSJ,"AIRBUS A350-900",AC-T1728,,696cb3cd,,,,423288,,A,
A359,,A359,KPHX,KPHX,"AIRBUS A350-900",AC-T1729,,62a9ae92,,,,423288,,A,
A359,,A359,MUHA,MUHA,"AIRBUS A350-900",AC-T1730,,3f78f6f8,,,,423287.54,,A,
AN24,,AN24,MUHA,MUHA,"ANTONOV AN 24B",AC-T1731,,49c9bac1,,,,28660.09,,A,
AN24,,AN24,MUHA,MUHA,"ANTONOV AN 24B",AC-T1732,,9fc0cacc,,,,28660.09,,A,
AN24,,AN24,TJSJ,TJSJ,"ANTONOV AN 24B",AC-T1733,,db15602e,,,,28660,,A,
AN24,,AN24,MUHA,MUHA,"ANTONOV AN 24B",AC-T1734,,bfc1a79b,,,,28660.09,,A,
B732,,B732,MUHA,MUHA,"BOEING 737-200",AC-T1735,,ca9c99e2,,,,63934.06,,A,
A320,,A320,KPHX,KPHX,"AIRBUS A320-200",AC-T1736,,e6dafef7,,,,137789,,A,
AT75,,AT75,TJSJ,TUPJ,"ATR 72-500",AC-T1737,,ffc0a0cf,,,,47399,,A,
AT75,,AT75,MUHA,MUHA,"ATR 72-500",AC-T1738,,c3a71538,,,,47399.39,,A,
AT75,,AT75,MUHA,MUHA,"ATR 72-500",AC-T1739,,7d8990a6,,,,47399.39,,A,
B732,,B732,MUHA,MUHA,"BOEING 737-200",AC-T1740,,c048b8fc,,,,68343.3,,A,
B38M,,B38M,MUHA,MDSD,"BOEING 737-800 MAX",AC-T1741,,e026c6e6,,,,143300,,A,
B38M,,B38M,TJSJ,MUHA,"BOEING 737-800  MAX",AC-T1742,,6f540780,,,,143300,,A,
B38M,,B38M,KPHX,MKJP,"BOEING 737-800  MAX",AC-T1743,,e124e72f,,,,143300,,A,
B735,,B735,MUHA,MUHA,"BOEING 737-500",AC-T1744,,4c703c90,,,,81571.04,,A,
B732,,B732,MUHA,MUHA,"BOEING 737-200",AC-T1745,,47dc436d,,,,68343.3,,A,
B735,,B735,TJSJ,TJSJ,"BOEING 737-500",AC-T1746,,df44221a,,,,81571,,A,
B735,,B735,TJSJ,TJSJ,"BOEING 737-500",AC-T1747,,9b8e3105,,,,81571,,A,
B737,,B737,MUHA,MUHA,"BOEING 737-700",AC-T1748,,44e0d217,,,,119049.62,,A,
B737,,B737,MUHA,MUHA,"BOEING 737-700",AC-T1749,,bc8f512e,,,,121254.24,,A,
B737,,B737,MUHA,MUHA,"BOEING 737-700",AC-T1750,,4d15ef07,,,,123458.87,,A,
L410,,L410,MUHA,MUHA,"LET L-410 TURBOLET",AC-T1751,,f6a9354b,,,,12566.35,,A,
E140,,E140,MUHA,MUHA,"EMBRAER 140",AC-T1752,,a5d480d2,,,,37478.58,,A,
E175,,E175,MUHA,MUHA,"EMBRAER 175",AC-T1753,,a4e6eeb0,,,,37478.58,,A,
BBJ2,,B738,MUHA,MUHA,"BOEING 737-800 Business Jet",AC-T1754,,a7af3dd2,,,,,,A,
B738,,B738,MUHA,MUHG,"BOEING 737-800",AC-T1755,,4c1c89e3,,,,132277,,A,
B738,,B738,TJSJ,MUHA,"BOEING 737-800",AC-T1756,,5ba87e3c,,,,132277,,A,
B738,,B738,KPHX,KPHX,"BOEING 737-800",AC-T1757,,de88a003,,,,136687,,A,
A310,,A310,TJSJ,TJSJ,"AIRBUS A310",AC-T1758,,c51bdc25,,,,308647,,A,
A310,,A310,KPHX,KPHX,"AIRBUS A310",AC-T1759,,5ef022b4,,,,308647,,A,
B739,,B739,MUHA,MUHA,"BOEING 737-900",AC-T1760,,9321d4a5,,,,145505.09,,A,
B739,,B739,TJSJ,TJSJ,"BOEING 737-900",AC-T1761,,757c4015,,,,145505,,A,
B739,,B739,KPHX,KPHX,"BOEING 737-900",AC-T1762,,99f399e1,,,,145505,,A,
B744,,B744,MUHA,MUHA,"BOEING 747-400",AC-T1763,,ccc22213,,,,650363.67,,A,
B744,,B744,TJSJ,TJSJ,"BOEING 747-400",AC-T1764,,83bba7cf,,,,650364,,A,
B744,,B744,MUHA,MUHA,"BOEING 747-400",AC-T1765,,429e9de4,,,,650363.67,,A,
A20N,,A20N,TJSJ,TJSJ,"AIRBUS A320 NEO",AC-T1766,,46c6e25f,,,,141096,,A,
B77W,,B77W,TJSJ,TJSJ,"BOEING 777-333ER",AC-T1767,,af66f036,,,,491631,,A,
B77W,,B77W,MUHA,MUHA,"BOEING 777-300ER",AC-T1768,,fe578fbe,,,,491630.84,,A,
B77W,,B77W,KPHX,KPHX,"BOEING 777-300ER",AC-T1769,,ed075e44,,,,491631,,A,
B788,,B788,KPHX,KPHX,"BOEING 787-800 DRE",AC-T1771,,7cb60532,,,,354944,,A,
B788,,B788,TJSJ,TJSJ,"BOEING 787-800 DRE",AC-T1772,,23e224bb,,,,354944,,A,
B788,,B788,MUHA,MUHA,"BOEING 787-800 DRE",AC-T1773,,bdbd740b,,,,354944.24,,A,
A332,,A332,KPHX,KPHX,"AIRBUS A330",AC-T1774,,e0b2f017,,,,396832,,A,
IL96,,IL96,MUHA,MUHA,"ILYUSHIN IL-96-300",AC-T1775,,c86507f7,,,,412264.43,,A,
DH8D,,DH8D,MUHA,MUHA,"DE HAVILLAND CANAD",AC-T1776,,a427c46c,,,,61729,,A,
DH8D,,DH8D,MUHA,MUHA,"DE HAVILLAND CANAD",AC-T1777,,e24bf027,,,,61729.43,,A,
DH8D,,DH8D,MUHA,MUHA,"DE HAVILLAND CANAD",AC-T1778,,d1b1958d,,,,61729.43,,A,
E110,,E110,MUHA,MUHA,"EMBRAER 110",AC-T1779,,e162181e,,,,12125.42,,A,
E110,,E110,MUHA,MUPB,"EMBRAER 110",AC-T1780,,4c8141e9,,,,12125.42,,A,
E110,,E110,TJSJ,TJSJ,"EMBRAER 110",AC-T1781,,9ef2c10c,,,,12125,,A,
E110,,E110,MUHA,MUHA,"EMBRAER 110",AC-T1782,,18b333e0,,,,12125.42,,A,
E190,,E190,MUHA,MUHA,"EMBRAER 190",AC-T1783,,fac647f2,,,,70107,,A,
E190,E90,E190,TJSJ,MMMD,"EMBRAER 190",AC-T1784,,71884da3,,,,70107,,A,
E190,,E190,MUHA,MUHA,"EMBRAER 190",AC-T1785,,13e09634,,,,70107,,A,
E175,,E175,MUHA,MUHA,"EMBRAER 175",AC-T1786,,310209f7,,,,69004.69,,A,
E175,,E175,MUHA,MUHA,"EMBRAER 175",AC-T1787,,3782f7ce,,,,37479,,A,
E195,,E195,MUHA,MUCU,"EMBRAER 195",AC-T1788,,71cb22f5,,,,78925.49,,A,
E195,,E195,TJSJ,TJSJ,"EMBRAER 195",AC-T1789,,e9ab2a85,,,,78925,,A,
E195,,E195,MUHA,MUHA,"EMBRAER 195",AC-T1790,,86755391,,,,78925.49,,A,
E145,,E145,MUHA,MUHA,"EMBRAER 145",AC-T1791,,aa262a60,,,,37478.58,,A,
L410,,L410,MUHA,MUHA,"LET L-410 TURBOLET",AC-T1792,,43712cb4,,,,12566.35,,A,
L410,,L410,MUHA,MUHA,"LET L-410 TURBOLET",AC-T1793,,afac85e1,,,,12566.35,,A,
YK40,,YK40,TJSJ,TJSJ,"YAKOVLEV 40",AC-T1794,,b659ecda,,,,29762,,A,
YK40,,YK40,MUHA,MUHA,"YAKOVLEV YAK-40",AC-T1795,,8a7ba869,,,,29762.41,,A,
YK40,,YK40,MUHA,MUHA,"YAKOVLEV YAK-40",AC-T1796,,7610e716,,,,29762.41,,A,
YK40,,YK40,MUHA,MUHA,"YAKOVLEV YAK-40",AC-T1797,,54268941,,,,29762.41,,A,
AT76,,AT76,MUHA,MUHA,"ATR 72-600",AC-T1798,,dcfc8c93,,,,48501.7,,A,
AT46,,AT46,MUHA,MUHA,"ATR 42-600",AC-T1799,,6a2385ad,,,,44092.45,,A,
AT76,,AT76,MUHA,MUHA,"ATR 72-600",AC-T1800,,f4c713c0,,,,48501.7,,A,
B753,,B753,MUHA,MUHA,"BOEING 757-300",AC-T1801,,340af598,,,,255736.22,,A,
B752,,B752,MUHA,MUHA,"BOEING 757-200",AC-T1802,,fec4a34d,,,,253531.6,,A,
B753,,B753,MUHA,TNCM,"BOEING 757-300",AC-T1803,,72004c5a,,,,255736.22,,A,
B764,,B764,MUHA,MUHA,"BOEING 767-400",AC-T1804,,b3c4a801,,,,299828.68,,A,
B764,,B764,TJSJ,TJSJ,"BOEING 767-400",AC-T1805,,1b1b18a0,,,,299829,,A,
B764,,B764,MUHA,MUHA,"BOEING 767-400",AC-T1806,,59ff200c,,,,299828.68,,A,
AT45,,AT45,MUHA,MUCL,"ATR 42-500",AC-T1807,,5e13c7fe,,,,42990.14,,A,
E145,,E145,MUHA,TJSJ,"EMBRAER 145",AC-T1840,,0ba19acc,,,,44753.84,,A,
B712,,B712,MUHA,TJSJ,"BOEING 717-200",AC-T1859,,9ef0828a,,,,79366,,A,
B712,,B712,MUHA,MUHA,"BOEING 717-200",AC-T1860,,a3355cfa,,,,74957.17,,A,
B712,,B712,MUHA,TISX,"BOEING 717-200",AC-T1861,,7705f6e4,,,,74957.17,,A,
B738,,B738,TJSJ,MUHA,"BOEING 737-800",AC-T1874,,8fcf536c,,,,134482,,A,
A388,,A388,MUHA,MUHA,"AIRBUS A380-800",AC-T1890,,8a80a102,,,,795868.77,,A,
B763,,B763,TJSJ,TJSJ,"BOEING 767-300",AC-T1901,,ce85f06b,,,,299829,,A,
B763,,B763,MUHA,UUEE,"BOEING 767-300",AC-T1902,,197cb207,,,,299828.68,,A,
B763,,B763,MUHA,MUHA,"BOEING 767-300",AC-T1903,,f86cb85e,,,,299828.68,,A,
B77L,,B77L,MUHA,SPJC,"BOEING 777-200LR",AC-T1905,,ab8510b0,,,,460766.13,,A,
B77L,,B77L,TJSJ,TJSJ,"BOEING 777-200LR",AC-T1906,,5efbb729,,,,460766,,A,
AN2,,AN2,MUHA,MUHA,"Antonov An-2",AC-T1907,,95ca07d4,,,,,,A,
C172,,C172,TJSJ,TJSJ,"Cessna 172 Skyhawk",AC-T1908,,0af970f0,,,,,,A,
C208,,C208,TJSJ,TJSJ,"Cessna 208 Caravan",AC-T1909,,811fed5c,,,,,,A,
B736,,B736,TJSJ,TJSJ,"Boeing 737-600",AC-T1910,,392460e5,,,,,,A,
B736,,B736,TJSJ,TJSJ,"Boeing 737-600",AC-T1911,,6c5ce926,,,,,,A,
SU95,,SU95,TJSJ,TJSJ,"Sukhoi Superjet 100",AC-T1912,,6fa4edb3,,,,,,A,
A306,,A306,TJSJ,TJSJ,"Airbus A300-600",AC-T1913,,8ef65a52,,,,,,A,
A306,,A306,KPHX,KPHX,"Airbus A300-600",AC-T1914,,008e3d00,,,,,,A,
BCS1,,BCS1,TJSJ,TJSJ,"Airbus A220-100",AC-T1915,,7c1d822f,,,,,,A,
BCS3,,BCS3,TJSJ,TJSJ,"Airbus A220-300",AC-T1916,,80842651,,,,,,A,
B762,,B762,TJSJ,TJSJ,"Boeing 767-200",AC-T1917,,8bcaf7d6,,,,,,A,
B789,,B789,TJSJ,TJSJ,"Boeing 787-9 Dreamliner",AC-T1918,,6108e83a,,,,,,A,
B78X,,B78X,TJSJ,TJSJ,"Boeing 787-10 Dreamliner",AC-T1919,,b75ee606,,,,,,A,
MI8,,MI8,TJSJ,TJSJ,"Mil Mi-17",AC-T1920,,6a0e1576,,,,,,A,
GA8,,GA8,TJSJ,FBKK,"GippsAero GA8 Airvan",AC-T1921,,a2fa51f4,,,,,,A,
BN2P,,BN2,TJSJ,TJSJ,"BN-2 Islander",AC-T1922,,621c25a1,,,,,,A,
TRIS,,TRIS,TJSJ,TJSJ,"BN-2A Trislander",AC-T1923,,f23dd552,,,,,,A,
SH33,,SH33,TJSJ,TJSJ,"Short 330",AC-T1924,,3f85678d,,,,,,A,
SH36,,SH36,TJSJ,TJSJ,"Short 360",AC-T1925,,f5a226d9,,,,,,A,
B733,,B733,TJSJ,MUHA,"Boeing 737-300",AC-T1926,,14afe636,,,,,,A,
B734,,B734,TJSJ,MUHG,"Boeing 737-400",AC-T1927,,5e0b74c5,,,,,,A,
EC45,,EC45,TJSJ,TJSJ,"Airbus H145 Pax",AC-T1928,,f40e1866,,,,,,A,
EC45,,EC45,TJSJ,TJSJ,"Airbus H145 Lux",AC-T1929,,3b8418c6,,,,,,A,
EC35,,EC35,TJSJ,TJSJ,"Airbus H135 Helicopter",AC-T1930,,f16937a8,,,,,,A,
DHC6,,DHC6,TJSJ,TJSJ,"Twin Otter",AC-T1931,,fad3f7d2,,,,,,A,
C402,,C402,TJSJ,TJSJ,"Cessna 402",AC-T1932,,e20db480,,,,,,A,
H60,,H60,TJSJ,TJSJ,"Sikorsky Helicopter",AC-T1933,,65b989a7,,,,,,A,
AN26,,AN26,MUHA,MUHA,"AN-26 Combined Cargo and Pax",AC-T1934,,8d46d18d,,,,,,A,
AN26,,AN26,MUHA,MUHA,"AN-26 Combined Cargo and Pax",AC-T1935,,416a716a,,,,,,A,
AN26,,AN26,MUHA,MUHA,"AN-26 Combined Cargo and Pax",AC-T1936,,5851f7fa,,,,,,A,
IL18,,IL18,MUHA,MUHA,"ILYUSHIN 18",AC-T1937,,7dc94288,,,,,,A,
GA8,,GA8,FBCO,HKMS,"GippsAero GA8 Airvan",AC-T1938,,e6dc2cad,,,,,,A,
C208,,C208,HKMS,HKMS,"Cessna 208 Caravan",AC-T1939,,00e37ac4,,,,,,A,
C208,,C208,FBCO,FBCO,"Cessna 208 Caravan",AC-T1940,,7d901258,,,,,,A,
MD11,,MD11,TJSJ,TJSJ,"McDonnell Douglas MD-11 Passenger",AC-T1941,,04bbfe50,,,,,,A,
MD11,,MD11,TJSJ,TJSJ,"McDonnell Douglas MD-11 Passenger",AC-T1942,,b1b56c29,,,,,,A,
MD11,,MD11,TJSJ,TJSJ,"McDonnell Douglas MD-11 Passenger",AC-T1943,,294c0afd,,,,,,A,
B722,,B722,TJSJ,TJSJ,"Boeing 727-200 Passenger",AC-T1944,,46475080,,,,,,A,
R722,,R722,TJSJ,TJSJ,"Boeing 727-200 Super 27 Passenger",AC-T1945,,eabf6169,,,,,,A,
RJ70,,RJ70,TJSJ,TJSJ,"Avro RJ70",AC-T1946,,65c76b8a,,,,,,A,
RJ85,,RJ85,TJSJ,TJSJ,"Avro RJ85",AC-T1947,,e22699f3,,,,,,A,
RJ1H,,RJ1H,TJSJ,TJSJ,"Avro RJ100",AC-T1948,,c348059f,,,,,,A,
MD82,,MD82,MUHA,MUHA,"McDonnell Douglas MD-82",AC-T1949,,a51f26b4,,,,,,A,
MD83,,MD83,MUHA,MUHA,"McDonnell Douglas MD-83",AC-T1950,,6035ad2c,,,,,,A,
MD88,,MD88,MUHA,MUHA,"McDonnell Douglas MD-88",AC-T1951,,da62b29c,,,,,,A,
MD90,,MD90,MUHA,MUHA,"McDonnell Douglas MD-90",AC-T1952,,71dde99d,,,,,,A,
C130,,C130,TJSJ,TJSJ,"C-130K Hercules",AC-T1953,,cd44c228,,,,,,A,
P212,,P212,TJSJ,TJSJ,"Tecnam P2012 Traveller",AC-T1954,,6dde3024,,,,,,A,
C408,,C408,TJSJ,TJSJ,"Cessna 408 SkyCourier",AC-T1955,,c80a4511,,,,,,A,
C750,,C750,TJSJ,TJSJ,"Cessna 750 Citation X",AC-T1956,,e214d411,,,,,,A,
